0,1000
1,1000
2,1000
3,1000
4,1000
5,995
6,988
7,983
8,971
9,958
10,939
11,917
12,906
13,888
14,875
15,864
16,845
17,825
18,807
19,780
20,755
21,732
22,714
23,689
24,672
25,645
26,597
27,542
28,473
29,413
30,348
31,306
32,267
33,246
34,225
35,209
36,197
37,194
38,190
39,181
40,178
41,176
42,171
43,167
44,162
45,156
46,151
47,147
48,144
49,133
50,126
51,116
52,114
53,112
54,110
55,107
56,104
57,101
58,95
59,91
60,86
61,83
62,83
63,79
64,79
65,77
66,77
67,72
68,71
69,70
70,68
71,65
72,63
73,62
74,59
75,57
76,55
77,52
78,51
79,51
80,49
81,45
82,42
83,41
84,41
85,40
86,38
87,33
88,32
89,32
90,32
91,31
92,30
93,29
94,27
95,25
96,24
97,23
98,23
99,23
100,21
101,21
102,19
103,19
104,19
105,19
106,17
107,16
108,15
109,14
110,13
111,12
112,11
113,10
114,9
115,9
116,8
117,7
118,7
119,7
120,7
121,7
122,7
123,7
124,7
125,6
126,6
127,6
128,6
129,6
130,6
131,6
132,5
133,5
134,5
135,5
136,5
137,5
138,5
139,3
140,2
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,0
